Family	Style	Size	Color	Underline	Underline_color	Сrossed_out	Double_strikethrough	Superscript	Subscript	Small_caps	All_uppercase	Hidden
Arial	Italic	16	Auto	Dashes_2_dots	Auto	false	true	true	false	false	false	false
Arial	Italic	36	color	Only_word	Auto	true	false	false	true	true	false	false
Arial	Bold Italic	20	color	Dashes	Auto	false	false	true	false	true	false	false
Arial	Bold Italic	48	color	Dots_bold	Auto	true	false	true	false	false	false	false
Arial	Regular	22	color	Single_bold	Auto	false	true	false	true	false	false	true
Arial	Bold Italic	8	Auto	Dashes_2_dots_bold	color	true	false	true	false	true	false	true
Arial	Regular	36	Auto	Double	Auto	false	false	false	true	true	false	true
Arial	Bold	24	Auto	Dashes_bold	color	true	false	true	false	false	false	true
Arial	Italic	10	color	Wave_double	color	false	true	false	false	true	false	true
Arial	Bold Italic	9	color	Wave	color	true	false	true	false	true	false	true
Arial	Bold	28	color	Dashes_long_bold	color	true	false	false	true	false	true	true
Arial	Regular	24	color	Dashes_long	Auto	false	false	true	false	false	true	false
Arial	Bold Italic	12	Auto	Dashes_dots_bold	color	false	false	false	true	false	true	false
Arial	Regular	72	color	Wave_bold	color	true	false	true	false	false	true	true
Arial	Italic	18	Auto	Single	Auto	true	false	false	true	false	false	true
Arial	Bold Italic	11	Auto	Dots	Auto	true	false	false	false	false	true	false
Arial	Regular	14	Auto	No	None	true	false	false	false	true	false	false
Arial	Regular	18	color	Dashes_dots	color	false	false	false	true	false	true	true
